Ukazatel,Tříleté období,Území,Druh nemovitosti,Počet obyvatel obce,value
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Byty [Kč/m2],Celkem,51964.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Byty [Kč/m2],do 1 999 obyv.,39930.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Byty [Kč/m2],2 000 - 9 999 obyv.,48058.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Byty [Kč/m2],10 000 - 49 999 obyv.,56221.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Rodinné domy [Kč/m2],Celkem,42486.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Rodinné domy [Kč/m2],do 1 999 obyv.,40429.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,47179.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,46140.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Byty [Kč/m2],Celkem,47413.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Byty [Kč/m2],do 1 999 obyv.,37222.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Byty [Kč/m2],2 000 - 9 999 obyv.,45941.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Byty [Kč/m2],10 000 - 49 999 obyv.,50421.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Nymburk,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Rodinné domy [Kč/m2],Celkem,87665.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Rodinné domy [Kč/m2],do 1 999 obyv.,87884.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,88594.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,85054.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Byty [Kč/m2],Celkem,53641.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Byty [Kč/m2],do 1 999 obyv.,46297.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Byty [Kč/m2],2 000 - 9 999 obyv.,51291.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Byty [Kč/m2],10 000 - 49 999 obyv.,58110.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-východ,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Rodinné domy [Kč/m2],Celkem,85231.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Rodinné domy [Kč/m2],do 1 999 obyv.,83117.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,86409.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Byty [Kč/m2],Celkem,49774.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Byty [Kč/m2],do 1 999 obyv.,35953.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Byty [Kč/m2],2 000 - 9 999 obyv.,51125.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Praha-západ,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Rodinné domy [Kč/m2],Celkem,42466.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Rodinné domy [Kč/m2],do 1 999 obyv.,42304.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,39268.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,49186.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Byty [Kč/m2],Celkem,46812.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Byty [Kč/m2],do 1 999 obyv.,30774.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Byty [Kč/m2],2 000 - 9 999 obyv.,44275.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Byty [Kč/m2],10 000 - 49 999 obyv.,50252.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Příbram,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Rodinné domy [Kč/m2],Celkem,40315.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Rodinné domy [Kč/m2],do 1 999 obyv.,38808.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,60091.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,51493.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Byty [Kč/m2],Celkem,42512.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Byty [Kč/m2],do 1 999 obyv.,30885.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Byty [Kč/m2],2 000 - 9 999 obyv.,52196.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Byty [Kč/m2],10 000 - 49 999 obyv.,46252.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rakovník,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Rodinné domy [Kč/m2],Celkem,51072.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Rodinné domy [Kč/m2],do 1 999 obyv.,44938.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,43118.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Rodinné domy [Kč/m2],50 000 obyv. a více,75557.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Byty [Kč/m2],Celkem,53925.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Byty [Kč/m2],do 1 999 obyv.,31412.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Byty [Kč/m2],2 000 - 9 999 obyv.,41493.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,České Budějovice,Byty [Kč/m2],50 000 obyv. a více,57993.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Rodinné domy [Kč/m2],Celkem,42653.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Rodinné domy [Kč/m2],do 1 999 obyv.,42752.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,42116.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44574.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Byty [Kč/m2],Celkem,39985.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Byty [Kč/m2],do 1 999 obyv.,30953.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Byty [Kč/m2],2 000 - 9 999 obyv.,40247.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Byty [Kč/m2],10 000 - 49 999 obyv.,46492.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Český Krumlov,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Rodinné domy [Kč/m2],Celkem,39643.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Rodinné domy [Kč/m2],do 1 999 obyv.,37270.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,39473.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,47025.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Byty [Kč/m2],Celkem,39510.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Byty [Kč/m2],do 1 999 obyv.,28603.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Byty [Kč/m2],2 000 - 9 999 obyv.,37062.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Byty [Kč/m2],10 000 - 49 999 obyv.,44334.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jindřichův Hradec,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Rodinné domy [Kč/m2],Celkem,36648.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Rodinné domy [Kč/m2],do 1 999 obyv.,34829.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,36389.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,49534.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Byty [Kč/m2],Celkem,42332.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Byty [Kč/m2],do 1 999 obyv.,27684.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Byty [Kč/m2],2 000 - 9 999 obyv.,41174.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Byty [Kč/m2],10 000 - 49 999 obyv.,46213.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Písek,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Rodinné domy [Kč/m2],Celkem,36280.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Rodinné domy [Kč/m2],do 1 999 obyv.,37150.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,32353.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Byty [Kč/m2],Celkem,34565.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Byty [Kč/m2],do 1 999 obyv.,30740.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Byty [Kč/m2],2 000 - 9 999 obyv.,32782.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Byty [Kč/m2],10 000 - 49 999 obyv.,40290.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Prachatice,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Rodinné domy [Kč/m2],Celkem,36817.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Rodinné domy [Kč/m2],do 1 999 obyv.,35890.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,33912.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44636.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Byty [Kč/m2],Celkem,39420.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Byty [Kč/m2],do 1 999 obyv.,30140.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Byty [Kč/m2],2 000 - 9 999 obyv.,41271.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Byty [Kč/m2],10 000 - 49 999 obyv.,42657.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Strakonice,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Rodinné domy [Kč/m2],Celkem,41606.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Rodinné domy [Kč/m2],do 1 999 obyv.,36022.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,42580.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,46207.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Byty [Kč/m2],Celkem,41383.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Byty [Kč/m2],do 1 999 obyv.,29576.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Byty [Kč/m2],2 000 - 9 999 obyv.,37135.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Byty [Kč/m2],10 000 - 49 999 obyv.,46364.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tábor,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Rodinné domy [Kč/m2],Celkem,36713.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Rodinné domy [Kč/m2],do 1 999 obyv.,35017.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,37661.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44655.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Byty [Kč/m2],Celkem,35358.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Byty [Kč/m2],do 1 999 obyv.,27753.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Byty [Kč/m2],2 000 - 9 999 obyv.,35494.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Byty [Kč/m2],10 000 - 49 999 obyv.,42387.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Domažlice,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Rodinné domy [Kč/m2],Celkem,39190.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Rodinné domy [Kč/m2],do 1 999 obyv.,39543.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,29262.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,47775.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Byty [Kč/m2],Celkem,41067.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Byty [Kč/m2],do 1 999 obyv.,35114.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Byty [Kč/m2],2 000 - 9 999 obyv.,33292.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Byty [Kč/m2],10 000 - 49 999 obyv.,45646.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Klatovy,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Rodinné domy [Kč/m2],Celkem,63066.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Rodinné domy [Kč/m2],do 1 999 obyv.,46578.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,47528.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Rodinné domy [Kč/m2],50 000 obyv. a více,72618.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Byty [Kč/m2],Celkem,57391.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Byty [Kč/m2],do 1 999 obyv.,38366.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Byty [Kč/m2],2 000 - 9 999 obyv.,48562.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-město,Byty [Kč/m2],50 000 obyv. a více,57707.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Rodinné domy [Kč/m2],Celkem,37505.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Rodinné domy [Kč/m2],do 1 999 obyv.,35351.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,40521.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Byty [Kč/m2],Celkem,38258.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Byty [Kč/m2],do 1 999 obyv.,31777.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Byty [Kč/m2],2 000 - 9 999 obyv.,38873.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-jih,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Rodinné domy [Kč/m2],Celkem,41504.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Rodinné domy [Kč/m2],do 1 999 obyv.,38929.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,44474.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Byty [Kč/m2],Celkem,41012.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Byty [Kč/m2],do 1 999 obyv.,32309.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Byty [Kč/m2],2 000 - 9 999 obyv.,43830.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeň-sever,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Rodinné domy [Kč/m2],Celkem,38137.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Rodinné domy [Kč/m2],do 1 999 obyv.,37294.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,37085.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,45002.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Byty [Kč/m2],Celkem,42559.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Byty [Kč/m2],do 1 999 obyv.,38345.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Byty [Kč/m2],2 000 - 9 999 obyv.,38726.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Byty [Kč/m2],10 000 - 49 999 obyv.,46020.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Rokycany,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Rodinné domy [Kč/m2],Celkem,36910.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Rodinné domy [Kč/m2],do 1 999 obyv.,36129.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,35181.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,41673.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Byty [Kč/m2],Celkem,34579.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Byty [Kč/m2],do 1 999 obyv.,28422.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Byty [Kč/m2],2 000 - 9 999 obyv.,35208.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Byty [Kč/m2],10 000 - 49 999 obyv.,38123.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Tachov,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Rodinné domy [Kč/m2],Celkem,32977.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Rodinné domy [Kč/m2],do 1 999 obyv.,32145.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,30897.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,35533.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Byty [Kč/m2],Celkem,32485.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Byty [Kč/m2],do 1 999 obyv.,23511.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Byty [Kč/m2],2 000 - 9 999 obyv.,32256.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Byty [Kč/m2],10 000 - 49 999 obyv.,33017.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Cheb,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Rodinné domy [Kč/m2],Celkem,40679.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Rodinné domy [Kč/m2],do 1 999 obyv.,39141.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,41103.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,43518.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Byty [Kč/m2],Celkem,36630.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Byty [Kč/m2],do 1 999 obyv.,30128.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Byty [Kč/m2],2 000 - 9 999 obyv.,27232.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Byty [Kč/m2],10 000 - 49 999 obyv.,38313.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovy Vary,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Rodinné domy [Kč/m2],Celkem,33943.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Rodinné domy [Kč/m2],do 1 999 obyv.,33759.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,32814.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,36599.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Byty [Kč/m2],Celkem,25794.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Byty [Kč/m2],do 1 999 obyv.,20882.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Byty [Kč/m2],2 000 - 9 999 obyv.,24698.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Sokolov,Byty [Kč/m2],10 000 - 49 999 obyv.,26728.0
