Území;Čtvrtletí;Země;Ukazatel;value
Česko;4. čtvrtletí 2024;Argentina;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Argentina;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Argentina;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Argentina;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Argentina;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Argentina;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Argentina;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Arménie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Arménie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Arménie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Arménie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Arménie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Arménie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Arménie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Aruba;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Aruba;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Aruba;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Aruba;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Aruba;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Aruba;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Aruba;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Austrálie;Pohyb zboží z ČR (v mil. Kč, FOB);3588.201481
Česko;4. čtvrtletí 2024;Austrálie;Pohyb zboží do ČR (v mil. Kč, CIF);604.204012
Česko;4. čtvrtletí 2024;Austrálie;Bilance - pohyb zboží (v mil. Kč);2983.997469
Česko;4. čtvrtletí 2024;Austrálie;Obrat - pohyb zboží (v mil. Kč);4192.405493
Česko;4. čtvrtletí 2024;Austrálie;Pohyb zboží z ČR (meziroční index );108.0063652427
Česko;4. čtvrtletí 2024;Austrálie;Pohyb zboží do ČR (meziroční index);132.5959866222
Česko;4. čtvrtletí 2024;Austrálie;Obrat pohybu zboží (meziroční index);110.9722633704
Česko;4. čtvrtletí 2024;Ázerbájdžán;Pohyb zboží z ČR (v mil. Kč, FOB);2784.237187
Česko;4. čtvrtletí 2024;Ázerbájdžán;Pohyb zboží do ČR (v mil. Kč, CIF);9603.168031
Česko;4. čtvrtletí 2024;Ázerbájdžán;Bilance - pohyb zboží (v mil. Kč);-6818.930844
Česko;4. čtvrtletí 2024;Ázerbájdžán;Obrat - pohyb zboží (v mil. Kč);12387.405218
Česko;4. čtvrtletí 2024;Ázerbájdžán;Pohyb zboží z ČR (meziroční index );208.8396118247
Česko;4. čtvrtletí 2024;Ázerbájdžán;Pohyb zboží do ČR (meziroční index);107.5875925297
Česko;4. čtvrtletí 2024;Ázerbájdžán;Obrat pohybu zboží (meziroční index);120.7455281323
Česko;4. čtvrtletí 2024;Bahamy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bahamy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bahamy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bahamy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bahamy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bahamy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bahamy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bahrajn;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bahrajn;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bahrajn;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bahrajn;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bahrajn;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bahrajn;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bahrajn;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bangladéš;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bangladéš;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bangladéš;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bangladéš;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bangladéš;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bangladéš;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bangladéš;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Barbados;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Barbados;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Barbados;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Barbados;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Barbados;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Barbados;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Barbados;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Belgie;Pohyb zboží z ČR (v mil. Kč, FOB);37372.045486
Česko;4. čtvrtletí 2024;Belgie;Pohyb zboží do ČR (v mil. Kč, CIF);20254.753683
Česko;4. čtvrtletí 2024;Belgie;Bilance - pohyb zboží (v mil. Kč);17117.291803
Česko;4. čtvrtletí 2024;Belgie;Obrat - pohyb zboží (v mil. Kč);57626.799169
Česko;4. čtvrtletí 2024;Belgie;Pohyb zboží z ČR (meziroční index );119.33586132
Česko;4. čtvrtletí 2024;Belgie;Pohyb zboží do ČR (meziroční index);102.7994303765
Česko;4. čtvrtletí 2024;Belgie;Obrat pohybu zboží (meziroční index);112.9497175568
Česko;4. čtvrtletí 2024;Belize;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Belize;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Belize;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Belize;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Belize;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Belize;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Belize;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bělorusko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bělorusko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bělorusko;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bělorusko;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bělorusko;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bělorusko;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bělorusko;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Benin;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Benin;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Benin;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Benin;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Benin;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Benin;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Benin;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bermudy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bermudy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bermudy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bermudy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bermudy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bermudy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bermudy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bhútán;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bhútán;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bhútán;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bhútán;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bhútán;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bhútán;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bhútán;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bolívarovská republika Venezuela;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Obrat - pohyb zboží (v mil. Kč);
