Území,Ukazatel,Typ indexu,Očištění,Typ tržeb,Vybraná průmyslová činnost,Měsíce,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červen 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",květen 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",duben 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",březen 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",únor 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",leden 2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",prosinec 2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",listopad 2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",říjen 2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",září 2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",srpen 2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",červenec 2001,
