Území,Ukazatel,Typ ceny,Očištění,CZCPA,Měsíce,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,duben 2010,295.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,březen 2010,280.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,únor 2010,241.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,leden 2010,229.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,prosinec 2009,199.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,listopad 2009,208.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,říjen 2009,249.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,září 2009,230.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,srpen 2009,220.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červenec 2009,242.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červen 2009,258.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,květen 2009,232.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,duben 2009,260.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,březen 2009,238.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,únor 2009,233.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,leden 2009,208.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,prosinec 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,listopad 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,říjen 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,září 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,srpen 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červenec 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červen 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,květen 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,duben 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,březen 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,únor 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,leden 2008,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,prosinec 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,listopad 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,říjen 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,září 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,srpen 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červenec 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červen 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,květen 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,duben 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,březen 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,únor 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,leden 2007,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,prosinec 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,listopad 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,říjen 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,září 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,srpen 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červenec 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červen 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,květen 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,duben 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,březen 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,únor 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,leden 2006,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,prosinec 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,listopad 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,říjen 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,září 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,srpen 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červenec 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,červen 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,květen 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,duben 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,březen 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,únor 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,leden 2005,
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2025,15727.510875
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2025,16326.456648
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2025,16357.889356
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2025,16414.965197
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2025,16903.445371
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2025,16845.607123
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2025,16138.311599
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2025,16681.744871
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2024,15144.221699
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2024,17826.527918
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2024,18049.547437
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2024,15714.68156
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2024,15499.097869
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2024,15725.532629
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2024,14850.712482
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2024,15536.707942
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2024,15655.296727
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2024,15649.797385
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2024,15273.709657
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2024,14512.267407
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2023,13112.058595
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2023,16063.841924
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2023,15874.541262
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2023,13710.37294
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2023,14114.058513
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2023,12294.72564
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2023,13942.821455
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2023,14216.107041
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2023,12251.686936
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2023,15044.400166
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2023,13173.364812
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2023,13766.242171
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2022,12854.527081
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2022,14822.813026
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2022,13748.1493
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2022,13370.103362
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2022,12841.001797
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2022,11044.985364
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2022,12255.149536
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2022,12464.678818
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2022,11296.002197
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2022,12835.277919
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2022,10284.434832
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2022,10142.197941
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2021,10252.539518
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2021,11538.427617
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2021,10509.15402
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2021,10197.235224
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2021,9521.564488
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2021,8767.875949
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2021,9822.61632
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2021,9867.926441
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2021,9545.795441
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2021,11034.430013
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2021,8876.039304
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2021,8585.824016
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2020,9048.411364
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2020,9871.145218
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2020,10452.426173
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2020,9751.170519
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2020,8754.07542
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2020,8989.49764
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2020,9095.049482
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2020,8335.577459
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2020,8430.715408
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2020,10380.190855
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2020,8746.652648
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2020,9002.024645
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2019,9073.447051
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2019,10105.620264
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2019,10757.966449
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2019,9402.803687
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2019,9245.119384
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2019,9497.234925
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2019,8807.000102
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2019,9721.523646
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2019,9393.982322
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2019,9596.878769
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2019,8847.013403
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2019,9427.21264
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2018,8192.220149
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2018,10257.355161
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2018,10293.946367
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2018,8743.219607
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2018,9112.743829
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2018,8577.095272
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2018,8728.393297
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2018,9065.59085
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2018,8343.258037
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2018,8941.145352
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2018,8062.437975
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2018,8671.295762
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2017,8071.98228
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2017,9786.900093
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2017,9908.995097
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2017,8800.962305
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2017,9328.88631
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2017,8206.471478
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2017,9193.601263
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2017,9728.93682
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2017,8294.012668
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2017,9993.446571
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2017,8754.438674
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2017,8738.567699
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2016,9192.431559
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2016,10631.050457
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2016,9800.798398
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",září 2016,9757.821754
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2016,9732.435412
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2016,8451.648202
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2016,9507.258331
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2016,9455.860283
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2016,8944.822924
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2016,9845.547215
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2016,9870.7216
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2016,9448.998214
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2015,10397.129239
