Území;Čtvrtletí;Odvětví ekonomické činnosti;Ukazatel;value
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);53.3748551327
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.8056683142
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.5325866024
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);46511.9425483068
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3118.1624236304
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.1857358697
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);55.2248796409
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);1.213555637
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);102.2468540799
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrná hrubá měsíční mzda na fyzické osoby (Kč);44953.800019112
