Území,Roky,Ukazatel,value
Česko,2005,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",314844.142636962
Česko,2005,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",58818.6413640667
Česko,2005,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",53605.6486846127
Česko,2005,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",67897.4947071409
Česko,2005,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",129735.957006702
Česko,2005,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4786.40087444
Česko,2005,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",110618.92903655
Česko,2005,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",5963.1002791797
Česko,2004,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",402409.764775277
Česko,2004,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",397121.251058572
Česko,2004,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",292720.560940564
Česko,2004,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",54550.6822048113
Česko,2004,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",54127.1520634696
Česko,2004,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",65942.1121750669
Česko,2004,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",113683.654372573
Česko,2004,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4416.9601246431
Česko,2004,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",104400.690118008
Česko,2004,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",5288.5137167053
Česko,2003,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",353879.333904863
Česko,2003,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",349964.486622485
Česko,2003,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",257184.851250158
Česko,2003,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",44600.2752696749
Česko,2003,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",41618.2148528063
Česko,2003,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",75750.6620267178
Česko,2003,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",91157.9741805387
Česko,2003,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4057.7249204207
Česko,2003,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",92779.6353723266
Česko,2003,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",3914.8472823778
Česko,2002,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",317568.002750796
Česko,2002,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",313569.469994707
Česko,2002,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",233037.509866337
Česko,2002,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",36011.2881141767
Česko,2002,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",39617.9279202046
Česko,2002,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",70877.5140148945
Česko,2002,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",83461.9722628091
Česko,2002,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",3068.8075542518
Česko,2002,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",80531.9601283705
Česko,2002,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",3998.5327560887
Česko,2001,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",301784.105965276
Česko,2001,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",295886.321177773
Česko,2001,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",223697.394556555
Česko,2001,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",33459.901720552
Česko,2001,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",36694.0391131106
Česko,2001,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",75489.4000600106
Česko,2001,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",75325.0907762612
