Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.7 Ostatní specializovaný velkoobchod,2020,106.5080804596
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.7 Ostatní specializovaný velkoobchod,2021,100.902566586
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.7 Ostatní specializovaný velkoobchod,2022,88.5229680406
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.7 Ostatní specializovaný velkoobchod,2023,92.6931884623
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.7 Ostatní specializovaný velkoobchod,2024,85.049560183
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2016,101.246274528
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2017,102.3931390058
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2018,99.3792641108
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2019,99.0647906067
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2020,105.5207615417
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2021,93.5472742997
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2022,89.1569575562
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2023,106.1383795973
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.9 Nespecializovaný velkoobchod,2024,100.4668391292
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2016,101.8406865414
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2017,103.1419477578
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2018,101.410593104
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2019,101.4153755603
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2020,99.2553150615
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2021,103.660828841
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2022,95.0727077915
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2023,96.1261559342
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,G Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2024,98.1049020473
