Území;Očištění;Typ indexu;Ukazatel;Měsíce;value
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2009;81.7686061211
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2009;81.0835002517
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2009;84.1727015409
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2009;79.3261597526
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2009;79.8581976819
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2008;84.9517957806
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2008;88.4813273634
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2008;92.5916925256
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2008;97.2003414046
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2008;96.5374260699
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2008;97.2114564373
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2008;101.6187256632
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2008;101.370807701
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2008;103.7105674708
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2008;99.6888142508
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2008;105.1088635082
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2008;103.8482512227
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2007;106.7360903559
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2007;106.5365585907
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2007;108.863039335
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2007;107.3167132537
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2007;108.8709493563
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2007;110.9544170583
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2007;109.381198674
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2007;109.0140926327
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2007;113.3204595466
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2007;114.3103930657
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2007;114.5359950616
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2007;111.5380050329
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2006;108.7506940043
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2006;106.3854497239
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2006;106.7999038986
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2006;108.2143428993
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2006;106.0228368992
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2006;107.8505881268
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2006;108.5248069837
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2006;111.5524020441
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2006;104.6891096069
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2006;109.6958545301
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2006;107.1465881194
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2006;108.9922484716
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2005;105.3207390747
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2005;105.1969460832
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2005;104.2272678879
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2005;104.1216278536
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2005;103.0548922661
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2005;102.68527128
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2005;104.0009388148
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2005;101.4456829835
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2005;101.8611234854
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2005;100.9085768912
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2005;100.6252153093
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2005;103.2356296016
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2004;102.5927001283
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2004;107.8084012431
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2004;109.0880134092
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2004;108.641936676
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2004;109.766974859
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2004;112.6411461218
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2004;110.7764273797
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2004;111.6530119531
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2004;110.1841997121
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2004;110.9126015124
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2004;111.1854816172
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2004;107.6943338648
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2003;104.6794551434
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2003;102.6327357237
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2003;102.6820811508
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2003;104.3331852374
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2003;106.9098274939
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2003;101.3623052898
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2003;103.312929917
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2003;102.1705434315
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2003;104.1263395203
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2003;102.5025866324
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2003;103.1732534466
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2003;106.7061089451
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2002;104.6024292463
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2002;106.6634815678
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2002;105.5223965617
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2002;103.5673660921
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2002;98.6228288164
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2002;104.1644648803
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2002;100.1126464599
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2002;99.4655314365
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2002;100.4574529724
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2002;99.6319435148
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2002;100.0694538135
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2002;97.4097982599
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2001;102.2931550043
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2001;104.3114522681
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2001;102.6993944472
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2001;103.5557271413
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2001;103.7061043045
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2001;106.1159418021
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2001;109.0995291686
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2001;108.6038259859
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2001;110.6293040294
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2001;110.1833058066
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2001;109.7046697457
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2001;114.1614372026
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2000;
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2025;100.8750873074
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2025;98.7181284308
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2025;98.974204566
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2024;101.3185259758
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2024;99.2632460613
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2024;102.8860604355
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2024;105.1994000897
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2024;110.9361754687
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2024;98.4861734195
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červen 2024;104.8982378365
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);květen 2024;101.9821351142
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);duben 2024;105.0135600461
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2024;105.5176564196
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2024;108.4989112569
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2024;98.5539015858
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2023;99.9082293568
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2023;100.1216750319
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2023;97.1935556446
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2023;94.1986859473
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2023;96.1404466877
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2023;95.1830416904
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červen 2023;95.1595227856
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);květen 2023;95.3925338129
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);duben 2023;102.8803619913
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2023;100.8048653209
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2023;99.7995502385
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2023;108.0626011312
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2022;108.889851822
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2022;110.0329058731
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2022;118.0101178578
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2022;123.0425696215
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2022;119.7279284415
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2022;104.0057844171
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červen 2022;115.9964474476
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);květen 2022;110.1329139649
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);duben 2022;103.9204884219
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2022;104.6492449777
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2022;107.7516765308
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2022;108.3381429313
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2021;105.4193692573
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2021;109.0173743768
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2021;98.5357680645
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2021;99.0591803078
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2021;104.6243068641
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2021;120.0010882981
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červen 2021;123.8982957715
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);květen 2021;145.2160447361
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);duben 2021;185.0250892637
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2021;125.8973718735
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2021;107.7870893789
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2021;99.3355673661
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2020;107.2229135362
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2020;104.5887466541
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2020;107.8026650287
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2020;105.074661542
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2020;94.0060429132
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2020;98.763064044
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červen 2020;91.7021800374
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);květen 2020;69.8582698258
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);duben 2020;57.5071112415
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2020;84.6678015169
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2020;97.52384542
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2020;106.1243550879
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2019;95.4642555806
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2019;98.8919128826
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2019;96.9912553575
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2019;96.4572018035
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2019;99.2426898061
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2019;101.1958768313
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červen 2019;94.9855167368
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);květen 2019;104.2242966121
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);duben 2019;107.6141711067
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);březen 2019;104.9073399597
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);únor 2019;101.9023771009
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);leden 2019;102.7630241998
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);prosinec 2018;96.607896856
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);listopad 2018;102.2384987219
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);říjen 2018;108.0699000736
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);září 2018;101.4619854096
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);srpen 2018;102.063167783
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Nové průmyslové zakázky (%);červenec 2018;107.7223555438
