Ukazatel,Území,Pořadí narození,Rodinný stav matky,Věk matky (jednoleté skupiny),Roky,value
Živě narození,Česko,Celkem,Celkem,22,2007,3221.0
Živě narození,Česko,Celkem,Celkem,22,2006,2962.0
Živě narození,Česko,Celkem,Celkem,22,2005,3207.0
Živě narození,Česko,Celkem,Celkem,22,2004,3351.0
Živě narození,Česko,Celkem,Celkem,22,2003,3587.0
Živě narození,Česko,Celkem,Celkem,22,2002,4403.0
Živě narození,Česko,Celkem,Celkem,22,2001,4883.0
Živě narození,Česko,Celkem,Celkem,23,2024,
Živě narození,Česko,Celkem,Celkem,23,2023,2261.0
Živě narození,Česko,Celkem,Celkem,23,2022,2622.0
Živě narození,Česko,Celkem,Celkem,23,2021,2664.0
Živě narození,Česko,Celkem,Celkem,23,2020,2738.0
Živě narození,Česko,Celkem,Celkem,23,2019,2719.0
Živě narození,Česko,Celkem,Celkem,23,2018,2927.0
Živě narození,Česko,Celkem,Celkem,23,2017,3283.0
Živě narození,Česko,Celkem,Celkem,23,2016,3360.0
Živě narození,Česko,Celkem,Celkem,23,2015,3101.0
Živě narození,Česko,Celkem,Celkem,23,2014,3180.0
Živě narození,Česko,Celkem,Celkem,23,2013,3080.0
Živě narození,Česko,Celkem,Celkem,23,2012,3212.0
Živě narození,Česko,Celkem,Celkem,23,2011,3162.0
Živě narození,Česko,Celkem,Celkem,23,2010,3481.0
Živě narození,Česko,Celkem,Celkem,23,2009,3639.0
Živě narození,Česko,Celkem,Celkem,23,2008,3663.0
Živě narození,Česko,Celkem,Celkem,23,2007,3734.0
Živě narození,Česko,Celkem,Celkem,23,2006,3649.0
Živě narození,Česko,Celkem,Celkem,23,2005,3802.0
Živě narození,Česko,Celkem,Celkem,23,2004,4034.0
Živě narození,Česko,Celkem,Celkem,23,2003,4767.0
Živě narození,Česko,Celkem,Celkem,23,2002,5492.0
Živě narození,Česko,Celkem,Celkem,23,2001,6068.0
Živě narození,Česko,Celkem,Celkem,24,2024,
Živě narození,Česko,Celkem,Celkem,24,2023,2866.0
Živě narození,Česko,Celkem,Celkem,24,2022,3122.0
Živě narození,Česko,Celkem,Celkem,24,2021,3342.0
Živě narození,Česko,Celkem,Celkem,24,2020,3502.0
Živě narození,Česko,Celkem,Celkem,24,2019,3556.0
Živě narození,Česko,Celkem,Celkem,24,2018,4096.0
Živě narození,Česko,Celkem,Celkem,24,2017,4079.0
Živě narození,Česko,Celkem,Celkem,24,2016,4010.0
Živě narození,Česko,Celkem,Celkem,24,2015,3995.0
Živě narození,Česko,Celkem,Celkem,24,2014,3611.0
Živě narození,Česko,Celkem,Celkem,24,2013,3651.0
Živě narození,Česko,Celkem,Celkem,24,2012,3805.0
Živě narození,Česko,Celkem,Celkem,24,2011,3872.0
Živě narození,Česko,Celkem,Celkem,24,2010,4205.0
Živě narození,Česko,Celkem,Celkem,24,2009,4255.0
Živě narození,Česko,Celkem,Celkem,24,2008,4656.0
Živě narození,Česko,Celkem,Celkem,24,2007,4589.0
Živě narození,Česko,Celkem,Celkem,24,2006,4465.0
Živě narození,Česko,Celkem,Celkem,24,2005,4829.0
Živě narození,Česko,Celkem,Celkem,24,2004,5449.0
Živě narození,Česko,Celkem,Celkem,24,2003,6228.0
Živě narození,Česko,Celkem,Celkem,24,2002,6894.0
Živě narození,Česko,Celkem,Celkem,24,2001,7287.0
Živě narození,Česko,Celkem,Celkem,25,2024,
Živě narození,Česko,Celkem,Celkem,25,2023,3591.0
Živě narození,Česko,Celkem,Celkem,25,2022,3828.0
Živě narození,Česko,Celkem,Celkem,25,2021,4337.0
Živě narození,Česko,Celkem,Celkem,25,2020,4389.0
Živě narození,Česko,Celkem,Celkem,25,2019,4922.0
Živě narození,Česko,Celkem,Celkem,25,2018,5009.0
Živě narození,Česko,Celkem,Celkem,25,2017,4880.0
Živě narození,Česko,Celkem,Celkem,25,2016,5024.0
Živě narození,Česko,Celkem,Celkem,25,2015,4662.0
Živě narození,Česko,Celkem,Celkem,25,2014,4573.0
Živě narození,Česko,Celkem,Celkem,25,2013,4471.0
Živě narození,Česko,Celkem,Celkem,25,2012,4598.0
Živě narození,Česko,Celkem,Celkem,25,2011,4520.0
Živě narození,Česko,Celkem,Celkem,25,2010,5076.0
Živě narození,Česko,Celkem,Celkem,25,2009,5359.0
Živě narození,Česko,Celkem,Celkem,25,2008,5673.0
Živě narození,Česko,Celkem,Celkem,25,2007,5725.0
Živě narození,Česko,Celkem,Celkem,25,2006,5809.0
Živě narození,Česko,Celkem,Celkem,25,2005,6480.0
Živě narození,Česko,Celkem,Celkem,25,2004,7122.0
Živě narození,Česko,Celkem,Celkem,25,2003,7287.0
Živě narození,Česko,Celkem,Celkem,25,2002,8039.0
Živě narození,Česko,Celkem,Celkem,25,2001,8626.0
Živě narození,Česko,Celkem,Celkem,26,2024,
Živě narození,Česko,Celkem,Celkem,26,2023,4389.0
Živě narození,Česko,Celkem,Celkem,26,2022,4768.0
Živě narození,Česko,Celkem,Celkem,26,2021,5279.0
Živě narození,Česko,Celkem,Celkem,26,2020,5775.0
Živě narození,Česko,Celkem,Celkem,26,2019,6054.0
Živě narození,Česko,Celkem,Celkem,26,2018,5876.0
Živě narození,Česko,Celkem,Celkem,26,2017,6218.0
Živě narození,Česko,Celkem,Celkem,26,2016,5580.0
Živě narození,Česko,Celkem,Celkem,26,2015,5684.0
Živě narození,Česko,Celkem,Celkem,26,2014,5429.0
Živě narození,Česko,Celkem,Celkem,26,2013,5450.0
Živě narození,Česko,Celkem,Celkem,26,2012,5469.0
Živě narození,Česko,Celkem,Celkem,26,2011,5652.0
Živě narození,Česko,Celkem,Celkem,26,2010,6166.0
Živě narození,Česko,Celkem,Celkem,26,2009,6602.0
Živě narození,Česko,Celkem,Celkem,26,2008,6808.0
Živě narození,Česko,Celkem,Celkem,26,2007,6936.0
Živě narození,Česko,Celkem,Celkem,26,2006,7325.0
Živě narození,Česko,Celkem,Celkem,26,2005,8061.0
Živě narození,Česko,Celkem,Celkem,26,2004,8304.0
Živě narození,Česko,Celkem,Celkem,26,2003,8605.0
Živě narození,Česko,Celkem,Celkem,26,2002,8963.0
Živě narození,Česko,Celkem,Celkem,26,2001,9083.0
Živě narození,Česko,Celkem,Celkem,27,2024,
Živě narození,Česko,Celkem,Celkem,27,2023,5144.0
Živě narození,Česko,Celkem,Celkem,27,2022,5768.0
Živě narození,Česko,Celkem,Celkem,27,2021,7049.0
Živě narození,Česko,Celkem,Celkem,27,2020,7072.0
Živě narození,Česko,Celkem,Celkem,27,2019,7054.0
Živě narození,Česko,Celkem,Celkem,27,2018,7250.0
Živě narození,Česko,Celkem,Celkem,27,2017,6896.0
Živě narození,Česko,Celkem,Celkem,27,2016,6840.0
Živě narození,Česko,Celkem,Celkem,27,2015,6600.0
Živě narození,Česko,Celkem,Celkem,27,2014,6641.0
Živě narození,Česko,Celkem,Celkem,27,2013,6459.0
Živě narození,Česko,Celkem,Celkem,27,2012,6563.0
Živě narození,Česko,Celkem,Celkem,27,2011,6712.0
Živě narození,Česko,Celkem,Celkem,27,2010,7260.0
Živě narození,Česko,Celkem,Celkem,27,2009,7575.0
Živě narození,Česko,Celkem,Celkem,27,2008,8054.0
Živě narození,Česko,Celkem,Celkem,27,2007,8827.0
Živě narození,Česko,Celkem,Celkem,27,2006,8830.0
Živě narození,Česko,Celkem,Celkem,27,2005,9106.0
Živě narození,Česko,Celkem,Celkem,27,2004,9066.0
Živě narození,Česko,Celkem,Celkem,27,2003,9037.0
Živě narození,Česko,Celkem,Celkem,27,2002,9013.0
Živě narození,Česko,Celkem,Celkem,27,2001,8622.0
Živě narození,Česko,Celkem,Celkem,28,2024,
Živě narození,Česko,Celkem,Celkem,28,2023,5827.0
Živě narození,Česko,Celkem,Celkem,28,2022,7161.0
Živě narození,Česko,Celkem,Celkem,28,2021,8076.0
Živě narození,Česko,Celkem,Celkem,28,2020,7683.0
Živě narození,Česko,Celkem,Celkem,28,2019,8083.0
Živě narození,Česko,Celkem,Celkem,28,2018,7830.0
Živě narození,Česko,Celkem,Celkem,28,2017,7895.0
Živě narození,Česko,Celkem,Celkem,28,2016,7581.0
Živě narození,Česko,Celkem,Celkem,28,2015,7582.0
Živě narození,Česko,Celkem,Celkem,28,2014,7518.0
Živě narození,Česko,Celkem,Celkem,28,2013,7235.0
Živě narození,Česko,Celkem,Celkem,28,2012,7656.0
Živě narození,Česko,Celkem,Celkem,28,2011,7682.0
Živě narození,Česko,Celkem,Celkem,28,2010,8547.0
Živě narození,Česko,Celkem,Celkem,28,2009,8667.0
Živě narození,Česko,Celkem,Celkem,28,2008,9671.0
Živě narození,Česko,Celkem,Celkem,28,2007,10055.0
Živě narození,Česko,Celkem,Celkem,28,2006,9737.0
Živě narození,Česko,Celkem,Celkem,28,2005,9734.0
Živě narození,Česko,Celkem,Celkem,28,2004,9544.0
Živě narození,Česko,Celkem,Celkem,28,2003,8916.0
Živě narození,Česko,Celkem,Celkem,28,2002,8434.0
Živě narození,Česko,Celkem,Celkem,28,2001,7287.0
Živě narození,Česko,Celkem,Celkem,29,2024,
Živě narození,Česko,Celkem,Celkem,29,2023,7014.0
Živě narození,Česko,Celkem,Celkem,29,2022,8028.0
Živě narození,Česko,Celkem,Celkem,29,2021,8584.0
Živě narození,Česko,Celkem,Celkem,29,2020,8656.0
Živě narození,Česko,Celkem,Celkem,29,2019,8506.0
Živě narození,Česko,Celkem,Celkem,29,2018,8606.0
Živě narození,Česko,Celkem,Celkem,29,2017,8641.0
Živě narození,Česko,Celkem,Celkem,29,2016,8383.0
Živě narození,Česko,Celkem,Celkem,29,2015,8315.0
Živě narození,Česko,Celkem,Celkem,29,2014,8482.0
Živě narození,Česko,Celkem,Celkem,29,2013,8149.0
Živě narození,Česko,Celkem,Celkem,29,2012,8162.0
Živě narození,Česko,Celkem,Celkem,29,2011,8328.0
Živě narození,Česko,Celkem,Celkem,29,2010,9139.0
Živě narození,Česko,Celkem,Celkem,29,2009,10058.0
Živě narození,Česko,Celkem,Celkem,29,2008,10694.0
Živě narození,Česko,Celkem,Celkem,29,2007,10626.0
Živě narození,Česko,Celkem,Celkem,29,2006,10234.0
Živě narození,Česko,Celkem,Celkem,29,2005,9973.0
Živě narození,Česko,Celkem,Celkem,29,2004,9011.0
Živě narození,Česko,Celkem,Celkem,29,2003,8203.0
Živě narození,Česko,Celkem,Celkem,29,2002,6808.0
Živě narození,Česko,Celkem,Celkem,29,2001,5894.0
Živě narození,Česko,Celkem,Celkem,30,2024,
Živě narození,Česko,Celkem,Celkem,30,2023,7362.0
Živě narození,Česko,Celkem,Celkem,30,2022,7953.0
Živě narození,Česko,Celkem,Celkem,30,2021,9296.0
Živě narození,Česko,Celkem,Celkem,30,2020,8431.0
