Ukazatel;Území;Druh zemědělské plodiny;Roky;value
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2015;219703.85
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2016;139033.9
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2017;188681.26
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2018;190497.28
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2019;95713.7
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2020;103160.77
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2021;371065.7
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2022;250138.75
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2023;136240.36
Sklizeň zemědělských plodin (t);Česko;Pšenice setá jarní;2024;90722.87
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2009;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2010;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2011;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2012;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2013;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2014;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2015;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2016;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2017;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2018;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2019;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2020;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2021;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2022;
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2023;19211.8
Sklizeň zemědělských plodin (t);Česko;Pšenice tvrdá;2024;27079.01
Sklizeň zemědělských plodin (t);Česko;Žito;2009;178069.7
Sklizeň zemědělských plodin (t);Česko;Žito;2010;118233.03
Sklizeň zemědělských plodin (t);Česko;Žito;2011;118455.82
Sklizeň zemědělských plodin (t);Česko;Žito;2012;146962.13
Sklizeň zemědělských plodin (t);Česko;Žito;2013;176278.44
Sklizeň zemědělských plodin (t);Česko;Žito;2014;129058.87
Sklizeň zemědělských plodin (t);Česko;Žito;2015;107874.0
Sklizeň zemědělských plodin (t);Česko;Žito;2016;104353.41
Sklizeň zemědělských plodin (t);Česko;Žito;2017;109240.64
Sklizeň zemědělských plodin (t);Česko;Žito;2018;120160.46
Sklizeň zemědělských plodin (t);Česko;Žito;2019;157560.85
Sklizeň zemědělských plodin (t);Česko;Žito;2020;172363.91
Sklizeň zemědělských plodin (t);Česko;Žito;2021;126581.41
Sklizeň zemědělských plodin (t);Česko;Žito;2022;128153.73
Sklizeň zemědělských plodin (t);Česko;Žito;2023;124950.37
Sklizeň zemědělských plodin (t);Česko;Žito;2024;105640.19
Sklizeň zemědělských plodin (t);Česko;Ječmen;2009;2003031.62
Sklizeň zemědělských plodin (t);Česko;Ječmen;2010;1584455.68
Sklizeň zemědělských plodin (t);Česko;Ječmen;2011;1813679.2
Sklizeň zemědělských plodin (t);Česko;Ječmen;2012;1616466.86
Sklizeň zemědělských plodin (t);Česko;Ječmen;2013;1593759.85
Sklizeň zemědělských plodin (t);Česko;Ječmen;2014;1967048.84
Sklizeň zemědělských plodin (t);Česko;Ječmen;2015;1991415.0
Sklizeň zemědělských plodin (t);Česko;Ječmen;2016;1845254.02
Sklizeň zemědělských plodin (t);Česko;Ječmen;2017;1712278.59
Sklizeň zemědělských plodin (t);Česko;Ječmen;2018;1606034.12
Sklizeň zemědělských plodin (t);Česko;Ječmen;2019;1718061.13
Sklizeň zemědělských plodin (t);Česko;Ječmen;2020;1816182.03
Sklizeň zemědělských plodin (t);Česko;Ječmen;2021;1749134.19
Sklizeň zemědělských plodin (t);Česko;Ječmen;2022;1877362.87
Sklizeň zemědělských plodin (t);Česko;Ječmen;2023;1764204.98
Sklizeň zemědělských plodin (t);Česko;Ječmen;2024;1671527.12
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2009;648753.36
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2010;495785.56
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2011;467739.57
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2012;390384.91
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2013;474698.85
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2014;590689.22
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2015;570972.72
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2016;637443.16
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2017;568134.5
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2018;510562.18
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2019;644113.46
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2020;697914.29
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2021;651625.11
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2022;751184.29
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2023;813806.21
Sklizeň zemědělských plodin (t);Česko;Ječmen ozimý;2024;642093.62
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2009;1354278.26
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2010;1088670.12
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2011;1345939.63
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2012;1226081.95
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2013;1119061.0
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2014;1376359.62
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2015;1420442.53
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2016;1207810.86
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2017;1144144.09
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2018;1095471.94
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2019;1073947.67
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2020;1118267.74
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2021;1097509.08
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2022;1126178.58
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2023;950398.77
Sklizeň zemědělských plodin (t);Česko;Ječmen jarní;2024;1029433.5
Sklizeň zemědělských plodin (t);Česko;Oves;2009;165993.04
Sklizeň zemědělských plodin (t);Česko;Oves;2010;138244.19
Sklizeň zemědělských plodin (t);Česko;Oves;2011;164247.77
Sklizeň zemědělských plodin (t);Česko;Oves;2012;171975.5
Sklizeň zemědělských plodin (t);Česko;Oves;2013;139119.74
Sklizeň zemědělských plodin (t);Česko;Oves;2014;152231.9
Sklizeň zemědělských plodin (t);Česko;Oves;2015;154575.5
Sklizeň zemědělských plodin (t);Česko;Oves;2016;132219.7
Sklizeň zemědělských plodin (t);Česko;Oves;2017;142441.38
Sklizeň zemědělských plodin (t);Česko;Oves;2018;152655.61
Sklizeň zemědělských plodin (t);Česko;Oves;2019;134409.87
Sklizeň zemědělských plodin (t);Česko;Oves;2020;183356.54
Sklizeň zemědělských plodin (t);Česko;Oves;2021;194744.65
Sklizeň zemědělských plodin (t);Česko;Oves;2022;167994.83
Sklizeň zemědělských plodin (t);Česko;Oves;2023;118592.57
Sklizeň zemědělských plodin (t);Česko;Oves;2024;200637.72
Sklizeň zemědělských plodin (t);Česko;Tritikale;2009;222710.78
Sklizeň zemědělských plodin (t);Česko;Tritikale;2010;171200.3
Sklizeň zemědělských plodin (t);Česko;Tritikale;2011;196918.1
Sklizeň zemědělských plodin (t);Česko;Tritikale;2012;190370.4
Sklizeň zemědělských plodin (t);Česko;Tritikale;2013;214207.12
Sklizeň zemědělských plodin (t);Česko;Tritikale;2014;243888.62
Sklizeň zemědělských plodin (t);Česko;Tritikale;2015;202646.13
Sklizeň zemědělských plodin (t);Česko;Tritikale;2016;193198.24
Sklizeň zemědělských plodin (t);Česko;Tritikale;2017;177251.84
Sklizeň zemědělských plodin (t);Česko;Tritikale;2018;172154.34
Sklizeň zemědělských plodin (t);Česko;Tritikale;2019;195409.31
Sklizeň zemědělských plodin (t);Česko;Tritikale;2020;213255.84
Sklizeň zemědělských plodin (t);Česko;Tritikale;2021;193445.39
Sklizeň zemědělských plodin (t);Česko;Tritikale;2022;207620.65
Sklizeň zemědělských plodin (t);Česko;Tritikale;2023;209125.94
Sklizeň zemědělských plodin (t);Česko;Tritikale;2024;196192.28
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2009;889573.68
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2010;692589.48
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2011;1063735.7
