Území,Čtvrtletí,Velikostní skupiny podniků,Ukazatel,value
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),57038.2653144012
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4118.2881485111
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.7821049234
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),373.6844879038
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-3.9103976655
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.9643933711
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),55102.8385787814
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3878.1747635116
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.5709130615
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1325.2111197702
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-35.4292069772
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),97.3961372245
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),59344.6508623162
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3742.3352185124
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7305384231
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1387.6104720314
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-33.6110789741
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),97.635057043
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),56675.9856651181
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3443.7834993353
Česko,2. čtvrtletí 2025,500 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.469361325
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),964.2065221925
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-30.9353272782
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),96.8913650557
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),60208.1751876763
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3620.682777626
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.398379966
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1013.9259841277
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-29.7006813087
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),97.1540894563
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),57255.7722299735
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3297.2219946721
Česko,2. čtvrtletí 2025,1 000 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.1106571253
