ČR, kraje, okresy;Ukazatel;Pohlaví;Věkové skupiny;Roky;value
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2016;26748.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2015;25016.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2014;24242.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2023;4387.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2022;3906.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2021;3268.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2020;2703.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2019;1815.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2018;1704.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2017;1531.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2016;1377.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2015;1042.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Od 65 a více let;2014;759.0
