Ukazatel;Území;Věk ženy (jednoleté skupiny);Roky;value
Rozvody;Česko;37;2017;1105.0
Rozvody;Česko;37;2016;1159.0
Rozvody;Česko;37;2015;1223.0
Rozvody;Česko;37;2014;1252.0
Rozvody;Česko;37;2013;1393.0
Rozvody;Česko;37;2012;1352.0
Rozvody;Česko;37;2011;1364.0
Rozvody;Česko;37;2010;1461.0
Rozvody;Česko;37;2009;1302.0
Rozvody;Česko;37;2008;1285.0
Rozvody;Česko;37;2007;1246.0
Rozvody;Česko;37;2006;1193.0
Rozvody;Česko;37;2005;1170.0
Rozvody;Česko;37;2004;1207.0
Rozvody;Česko;37;2003;1203.0
Rozvody;Česko;37;2002;1150.0
Rozvody;Česko;37;2001;1174.0
Rozvody;Česko;38;2024;
Rozvody;Česko;38;2023;701.0
Rozvody;Česko;38;2022;730.0
Rozvody;Česko;38;2021;779.0
Rozvody;Česko;38;2020;874.0
Rozvody;Česko;38;2019;892.0
Rozvody;Česko;38;2018;1001.0
Rozvody;Česko;38;2017;1192.0
Rozvody;Česko;38;2016;1183.0
Rozvody;Česko;38;2015;1272.0
Rozvody;Česko;38;2014;1295.0
Rozvody;Česko;38;2013;1478.0
Rozvody;Česko;38;2012;1291.0
Rozvody;Česko;38;2011;1269.0
Rozvody;Česko;38;2010;1321.0
Rozvody;Česko;38;2009;1173.0
Rozvody;Česko;38;2008;1156.0
Rozvody;Česko;38;2007;1173.0
Rozvody;Česko;38;2006;1141.0
Rozvody;Česko;38;2005;1162.0
Rozvody;Česko;38;2004;1194.0
Rozvody;Česko;38;2003;1158.0
Rozvody;Česko;38;2002;1117.0
Rozvody;Česko;38;2001;1026.0
Rozvody;Česko;39;2024;
Rozvody;Česko;39;2023;677.0
Rozvody;Česko;39;2022;764.0
Rozvody;Česko;39;2021;808.0
Rozvody;Česko;39;2020;829.0
Rozvody;Česko;39;2019;1048.0
Rozvody;Česko;39;2018;1113.0
Rozvody;Česko;39;2017;1231.0
Rozvody;Česko;39;2016;1224.0
Rozvody;Česko;39;2015;1326.0
Rozvody;Česko;39;2014;1368.0
Rozvody;Česko;39;2013;1437.0
Rozvody;Česko;39;2012;1249.0
Rozvody;Česko;39;2011;1201.0
Rozvody;Česko;39;2010;1277.0
Rozvody;Česko;39;2009;1115.0
Rozvody;Česko;39;2008;1190.0
Rozvody;Česko;39;2007;1094.0
Rozvody;Česko;39;2006;1135.0
Rozvody;Česko;39;2005;1160.0
Rozvody;Česko;39;2004;1194.0
Rozvody;Česko;39;2003;1140.0
Rozvody;Česko;39;2002;1036.0
Rozvody;Česko;39;2001;926.0
Rozvody;Česko;40;2024;
Rozvody;Česko;40;2023;671.0
Rozvody;Česko;40;2022;722.0
Rozvody;Česko;40;2021;832.0
Rozvody;Česko;40;2020;882.0
Rozvody;Česko;40;2019;1148.0
Rozvody;Česko;40;2018;1142.0
Rozvody;Česko;40;2017;1287.0
Rozvody;Česko;40;2016;1199.0
Rozvody;Česko;40;2015;1301.0
Rozvody;Česko;40;2014;1335.0
Rozvody;Česko;40;2013;1291.0
Rozvody;Česko;40;2012;1101.0
Rozvody;Česko;40;2011;1103.0
Rozvody;Česko;40;2010;1143.0
Rozvody;Česko;40;2009;1015.0
Rozvody;Česko;40;2008;1085.0
Rozvody;Česko;40;2007;1112.0
Rozvody;Česko;40;2006;1043.0
Rozvody;Česko;40;2005;1093.0
Rozvody;Česko;40;2004;1164.0
Rozvody;Česko;40;2003;1079.0
Rozvody;Česko;40;2002;936.0
Rozvody;Česko;40;2001;865.0
Rozvody;Česko;41;2024;
Rozvody;Česko;41;2023;737.0
Rozvody;Česko;41;2022;827.0
Rozvody;Česko;41;2021;921.0
Rozvody;Česko;41;2020;937.0
Rozvody;Česko;41;2019;1153.0
Rozvody;Česko;41;2018;1199.0
Rozvody;Česko;41;2017;1273.0
Rozvody;Česko;41;2016;1263.0
Rozvody;Česko;41;2015;1313.0
Rozvody;Česko;41;2014;1230.0
Rozvody;Česko;41;2013;1114.0
Rozvody;Česko;41;2012;995.0
Rozvody;Česko;41;2011;1061.0
Rozvody;Česko;41;2010;1084.0
Rozvody;Česko;41;2009;1016.0
Rozvody;Česko;41;2008;1123.0
Rozvody;Česko;41;2007;1055.0
Rozvody;Česko;41;2006;1119.0
Rozvody;Česko;41;2005;1140.0
Rozvody;Česko;41;2004;1039.0
Rozvody;Česko;41;2003;969.0
Rozvody;Česko;41;2002;812.0
Rozvody;Česko;41;2001;826.0
Rozvody;Česko;42;2024;
Rozvody;Česko;42;2023;762.0
Rozvody;Česko;42;2022;839.0
Rozvody;Česko;42;2021;997.0
Rozvody;Česko;42;2020;1013.0
Rozvody;Česko;42;2019;1172.0
Rozvody;Česko;42;2018;1227.0
Rozvody;Česko;42;2017;1234.0
Rozvody;Česko;42;2016;1223.0
Rozvody;Česko;42;2015;1074.0
Rozvody;Česko;42;2014;1075.0
Rozvody;Česko;42;2013;1036.0
Rozvody;Česko;42;2012;931.0
Rozvody;Česko;42;2011;937.0
Rozvody;Česko;42;2010;993.0
Rozvody;Česko;42;2009;964.0
Rozvody;Česko;42;2008;1067.0
Rozvody;Česko;42;2007;1123.0
Rozvody;Česko;42;2006;1084.0
